Index,Random Seed,K_fold,#,Actual,Predicted,Uncertainty
0,1201,2,0.0,32.61000061035156,27.296802520751953,2.7910659313201904
1,1201,2,1.0,32.09000015258789,28.48503875732422,2.682281732559204
2,1201,2,2.0,31.809999465942383,28.553245544433594,2.5021984577178955
3,1201,2,3.0,30.440000534057617,27.315242767333984,2.287903070449829
4,1201,2,4.0,28.40999984741211,25.062732696533203,2.099433660507202
5,1201,2,10.0,16.670000076293945,15.716351509094238,1.4818732738494873
6,1201,2,11.0,15.140000343322754,15.355886459350586,1.4968887567520142
7,1201,1,12.0,33.360198974609375,29.457374572753903,1.738170862197876
8,1201,1,13.0,34.08000183105469,30.127735137939453,1.675465106964111
9,1201,1,14.0,34.720001220703125,30.056671142578125,1.5956683158874512
10,1201,1,15.0,33.91999816894531,29.01177215576172,1.5229827165603638
11,1201,1,16.0,32.380001068115234,27.48981475830078,1.4718573093414309
12,1201,1,17.0,30.989999771118164,25.664451599121097,1.419560432434082
13,1201,1,18.0,29.260000228881836,23.78419303894043,1.3941435813903809
14,1201,1,23.0,17.940000534057617,18.243755340576172,1.512592315673828
15,1201,3,24.0,28.420000076293945,29.236392974853516,1.2070305347442627
16,1201,3,25.0,28.61000061035156,30.121402740478516,1.1717928647994995
17,1201,3,26.0,30.469999313354492,30.217918395996097,1.122275471687317
18,1201,3,27.0,30.700000762939453,29.880584716796875,1.0774948596954346
19,1201,3,28.0,30.239999771118164,29.27203369140625,1.042258858680725
20,1201,3,29.0,28.190000534057617,27.760282516479492,1.002629280090332
21,1201,3,30.0,26.530000686645508,25.72760772705078,0.9609709978103638
22,1201,3,31.0,25.59000015258789,23.774330139160156,0.940987229347229
23,1201,3,33.0,21.790000915527344,20.975997924804688,0.9168058037757874
24,1201,4,36.0,25.329999923706055,28.92792510986328,1.5077266693115234
25,1201,4,37.0,25.84000015258789,30.170764923095703,1.4341999292373655
26,1201,4,38.0,27.34000015258789,30.921405792236328,1.381924033164978
27,1201,4,39.0,28.13999938964844,30.782154083251953,1.3169273138046265
28,1201,4,40.0,27.68000030517578,30.068065643310547,1.256601333618164
29,1201,4,41.0,26.760000228881836,28.578296661376953,1.2029231786727903
30,1201,4,42.0,25.579999923706055,26.710796356201172,1.1551826000213623
31,1201,4,43.0,24.190000534057617,25.0039005279541,1.1323171854019165
32,1201,4,48.0,28.829999923706055,28.639057159423828,1.4704444408416748
33,1201,4,59.0,17.540000915527344,20.08017349243164,1.0994797945022583
34,1201,3,61.0,1.1799999475479126,2.899899959564209,0.4420539438724518
35,1201,3,66.0,1.409999966621399,2.08675479888916,0.3688808083534241
36,1201,4,67.0,10.5,1.3008813858032229,0.514539897441864
37,1201,4,68.0,8.819999694824219,1.6729164123535156,0.5421470999717712
38,1201,4,72.0,4.139999866485596,2.770474910736084,0.7121602296829224
39,1201,4,74.0,8.680000305175781,0.7587051391601562,0.6216179728507996
40,1201,4,75.0,7.590000152587891,1.0201005935668943,0.6498698592185974
41,1201,4,80.0,3.180000066757202,2.1204843521118164,0.8688626885414124
42,1201,4,81.0,1.1399999856948853,0.6245870590209961,0.3273312449455261
43,1201,3,89.0,0.962000012397766,5.1674418449401855,0.5640007257461548
44,1201,1,97.0,1.919999957084656,1.037628173828125,0.1660550832748413
45,1201,1,104.0,6.150000095367432,1.573267936706543,0.1623848676681518
46,1201,2,131.0,9.229999542236328,0.7616338729858398,0.2108723074197769
47,1201,5,138.0,0.4350000023841858,9.865059852600098,3.675502300262451
48,1201,4,150.0,1.9600000381469729,2.9879350662231445,0.2842430770397186
